iter	Logloss
0	0.681878215
1	0.6727511526
2	0.6654505664
3	0.6593569275
4	0.6545293132
5	0.6504865255
6	0.6471855362
7	0.6445040392
8	0.6422405317
9	0.6403761345
10	0.6389079158
11	0.6375856237
12	0.6364794115
13	0.6355494757
14	0.6346807926
15	0.6339337691
16	0.6333030868
17	0.6327980204
18	0.6322453433
19	0.6317491615
20	0.6312784379
21	0.6307497634
22	0.6303368932
23	0.6299971612
24	0.6296159298
25	0.6292407571
26	0.6288039616
27	0.6284101414
28	0.6281059516
29	0.6278144931
30	0.6274236574
31	0.6271122747
32	0.6268348484
33	0.6265334277
34	0.6262062276
35	0.6258623602
36	0.625585304
37	0.6253094026
38	0.6249365882
39	0.6246489111
40	0.6243871274
41	0.6240516648
42	0.6237167511
43	0.6233904252
44	0.6231216843
45	0.6229223243
46	0.6226942451
47	0.6223640929
48	0.6219890665
49	0.6217212648
50	0.6214684186
51	0.6211634725
52	0.620830722
53	0.6206234453
54	0.6204015994
55	0.6200911275
56	0.6198001162
57	0.6194819713
58	0.6192631385
59	0.6190266748
60	0.6187538027
61	0.6184189947
62	0.6180864435
63	0.6178486623
64	0.6175310014
65	0.6172001824
66	0.6169031653
67	0.6165967392
68	0.6162409661
69	0.6159124485
70	0.6156333552
71	0.61539041
72	0.6150773519
73	0.6147776797
74	0.6144780847
75	0.6142148779
76	0.6140188278
77	0.6138236031
78	0.6134902427
79	0.6132856415
80	0.6129491948
81	0.6126659784
82	0.6124098792
83	0.6120931819
84	0.6117650465
85	0.6115694356
86	0.611357133
87	0.6110741809
88	0.6106564679
89	0.6103246974
90	0.6100486048
91	0.6096821743
92	0.6093134017
93	0.6090285994
94	0.6087397513
95	0.6084118233
96	0.6081486368
97	0.607878859
98	0.6075546434
99	0.6073114786
