iter	Passed	Remaining
0	15	1524
1	29	1441
2	45	1468
3	59	1431
4	75	1428
5	90	1415
6	103	1377
7	117	1352
8	131	1328
9	147	1325
10	162	1312
11	176	1294
12	190	1273
13	204	1255
14	218	1238
15	234	1230
16	248	1215
17	263	1198
18	277	1183
19	292	1170
20	307	1155
21	321	1141
22	337	1128
23	350	1110
24	365	1095
25	380	1081
26	395	1069
27	410	1056
28	426	1044
29	441	1030
30	456	1016
31	471	1001
32	486	987
33	501	974
34	517	961
35	534	949
36	549	935
37	564	920
38	580	908
39	596	894
40	610	878
41	625	864
42	642	851
43	657	837
44	673	822
45	686	806
46	701	791
47	715	775
48	730	760
49	744	744
50	759	729
51	774	714
52	789	699
53	803	684
54	821	672
55	836	657
56	853	643
57	868	628
58	882	613
59	896	597
60	911	582
61	925	567
62	942	553
63	958	539
64	973	524
65	988	509
66	1005	495
67	1021	480
68	1038	466
69	1054	451
70	1071	437
71	1087	423
72	1103	408
73	1118	393
74	1133	377
75	1146	362
76	1160	346
77	1174	331
78	1190	316
79	1205	301
80	1220	286
81	1234	271
82	1249	255
83	1262	240
84	1276	225
85	1290	210
86	1304	194
87	1318	179
88	1335	165
89	1352	150
90	1368	135
91	1386	120
92	1404	105
93	1423	90
94	1442	75
95	1459	60
96	1476	45
97	1493	30
98	1510	15
99	1527	0
